Report Date:;01/07/2024 15:54:41
Report User Name:;clt-sonde
Report Computer Name:;CLT-THO-SA249-P
Application:;WinSitu.exe
Application Version:;5.7.6.1


Log File Properties
File Name;240701-WS-Leman-10-2024_2024-07-01_15-54-28-598.wsl
Create Date;01/07/2024 15:54:25

Device Properties
Device;Level TROLL 400
Site;Leman SHL2
Device Name; 
Serial Number;1028058
Firmware Version;3.09
Hardware Version;6
Device Address;1
Device Comm Cfg;9600,8,Even,1,(Modbus-ASCII)
Used Memory;46
Used Battery;17

Log Configuration
;Log Name;240701-WS-Leman-10-2024
;Created By;clt-sonde
;Computer Name;CLT-THO-SA249-P
;Application;WinSitu.exe
;Application Version;5.7.6.1
;Create Date;01/07/2024 08:35:08 Paris, Madrid (heure d’été)
;Log Setup Time Zone;Paris, Madrid (heure d’été)
;Notes Size(bytes);4096
;Overwrite when full;Disabled
;Scheduled Start Time;Manual Start
;Scheduled Stop Time;No Stop Time
;Type;Fast Linear
 ;Interval;Days: 0 hrs: 00 mins: 00 secs: 01



Level Reference Settings At Log Creation
;        Level Measurement Mode;Depth
;              Specific Gravity;0.999


Other Log Settings
;Pressure Offset:;958.846 (mBar)
;Depth of Probe:;-0.0146812 (m)
;Head Pressure:;-1.43829 (mBar)
;Temperature:;23.5633 (C)



Log Notes:
Date and Time;Note
01/07/2024 08:35:21;Used Battery: 17% Used Memory: 50%   User Name: clt-sonde
01/07/2024 08:37:02;Manual Start Command
01/07/2024 15:41:29;Used Battery: 17% Used Memory: 34%   User Name: clt-sonde
01/07/2024 15:41:30;Manual Stop Command


Log Data:
Record Count;25455

Sensors;1

 ,1,1028058,Pressure/Temp 500 PSIA (341.3m/1120ft)

Time Zone: Paris, Madrid (heure d’été)

;;Sensor: Pres(A) 1120ft                  ;
;Elapsed Time;SN#: 1028058                            ;
Date and Time;Seconds     ;Depth (m)                               ;
01/07/2024 08:37:02;       0.000;                                  -0.005;
01/07/2024 08:37:03;       1.000;                                  -0.017;
01/07/2024 08:37:04;       2.068;                                   0.047;
01/07/2024 08:37:05;       3.000;                                   0.001;
01/07/2024 08:37:06;       4.000;                                   0.032;
01/07/2024 08:37:07;       5.000;                                   0.036;
01/07/2024 08:37:08;       6.000;                                   0.007;
01/07/2024 08:37:09;       7.000;                                   0.032;
01/07/2024 08:37:10;       8.000;                                   0.022;
01/07/2024 08:37:11;       9.000;                                   0.018;
01/07/2024 08:37:12;      10.000;                                   0.019;
01/07/2024 08:37:13;      11.000;                                   0.001;
01/07/2024 08:37:14;      12.000;                                  -0.006;
01/07/2024 08:37:15;      13.000;                                   0.008;
01/07/2024 08:37:16;      14.000;                                   0.012;
01/07/2024 08:37:17;      15.000;                                   0.023;
01/07/2024 08:37:18;      16.000;                                   0.008;
01/07/2024 08:37:19;      17.000;                                   0.023;
01/07/2024 08:37:20;      18.000;                                   0.016;
01/07/2024 08:37:21;      19.000;                                  -0.002;
01/07/2024 08:37:22;      20.000;                                  -0.009;
01/07/2024 08:37:23;      21.000;                                   0.009;
01/07/2024 08:37:24;      22.000;                                   0.005;
01/07/2024 08:37:25;      23.000;                                   0.006;
01/07/2024 08:37:26;      24.000;                                   0.006;
01/07/2024 08:37:27;      25.000;                                   0.009;
01/07/2024 08:37:28;      26.000;                                  -0.001;
01/07/2024 08:37:29;      27.000;                                   0.009;
01/07/2024 08:37:30;      28.000;                                   0.013;
01/07/2024 08:37:31;      29.000;                                   0.003;
01/07/2024 08:37:32;      30.000;                                   0.009;
01/07/2024 08:37:33;      31.000;                                   0.034;
01/07/2024 08:37:34;      32.000;                                   0.031;
01/07/2024 08:37:35;      33.000;                                   0.024;
01/07/2024 08:37:36;      34.000;                                   0.003;
01/07/2024 08:37:37;      35.000;                                   0.003;
01/07/2024 08:37:38;      36.000;                                  -0.011;
01/07/2024 08:37:39;      37.000;                                   0.003;
01/07/2024 08:37:40;      38.000;                                  -0.004;
01/07/2024 08:37:41;      39.000;                                   0.017;
01/07/2024 08:37:42;      40.000;                                   0.010;
01/07/2024 08:37:43;      41.000;                                   0.007;
01/07/2024 08:37:44;      42.000;                                   0.010;
01/07/2024 08:37:45;      43.000;                                   0.025;
01/07/2024 08:37:46;      44.000;                                   0.014;
01/07/2024 08:37:47;      45.000;                                   0.011;
01/07/2024 08:37:48;      46.000;                                   0.015;
01/07/2024 08:37:49;      47.000;                                  -0.003;
01/07/2024 08:37:50;      48.000;                                   0.015;
01/07/2024 08:37:51;      49.000;                                  -0.017;
01/07/2024 08:37:52;      50.000;                                   0.029;
01/07/2024 08:37:53;      51.000;                                   0.001;
01/07/2024 08:37:54;      52.000;                                   0.005;
01/07/2024 08:37:55;      53.000;                                   0.008;
01/07/2024 08:37:56;      54.000;                                   0.015;
01/07/2024 08:37:57;      55.000;                                   0.019;
01/07/2024 08:37:58;      56.000;                                  -0.006;
01/07/2024 08:37:59;      57.000;                                   0.026;
01/07/2024 08:38:00;      58.000;                                  -0.002;
01/07/2024 08:38:01;      59.000;                                   0.002;
01/07/2024 08:38:02;      60.000;                                  -0.002;
01/07/2024 08:38:03;      61.000;                                   0.016;
01/07/2024 08:38:04;      62.000;                                   0.012;
01/07/2024 08:38:05;      63.000;                                  -0.009;
01/07/2024 08:38:06;      64.000;                                   0.016;
01/07/2024 08:38:07;      65.000;                                  -0.005;
01/07/2024 08:38:08;      66.000;                                   0.020;
01/07/2024 08:38:09;      67.000;                                   0.009;
01/07/2024 08:38:10;      68.000;                                   0.016;
01/07/2024 08:38:11;      69.000;                                   0.013;
01/07/2024 08:38:12;      70.000;                                   0.002;
01/07/2024 08:38:13;      71.000;                                   0.031;
01/07/2024 08:38:14;      72.000;                                  -0.001;
01/07/2024 08:38:15;      73.000;                                   0.006;
01/07/2024 08:38:16;      74.000;                                   0.003;
01/07/2024 08:38:17;      75.000;                                  -0.026;
01/07/2024 08:38:18;      76.000;                                  -0.004;
01/07/2024 08:38:19;      77.000;                                  -0.001;
01/07/2024 08:38:20;      78.000;                                   0.006;
01/07/2024 08:38:21;      79.000;                                   0.037;
01/07/2024 08:38:22;      80.000;                                  -0.005;
01/07/2024 08:38:23;      81.000;                                  -0.012;
01/07/2024 08:38:24;      82.000;                                  -0.023;
01/07/2024 08:38:25;      83.000;                                  -0.006;
01/07/2024 08:38:26;      84.000;                                  -0.020;
01/07/2024 08:38:27;      85.000;                                   0.014;
01/07/2024 08:38:28;      86.000;                                   0.025;
01/07/2024 08:38:29;      87.000;                                  -0.008;
01/07/2024 08:38:30;      88.000;                                   0.023;
01/07/2024 08:38:31;      89.000;                                  -0.017;
01/07/2024 08:38:32;      90.000;                                   0.022;
01/07/2024 08:38:33;      91.000;                                   0.003;
01/07/2024 08:38:34;      92.000;                                   0.020;
01/07/2024 08:38:35;      93.000;                                   0.019;
01/07/2024 08:38:36;      94.000;                                   0.019;
01/07/2024 08:38:37;      95.000;                                   0.028;
01/07/2024 08:38:38;      96.000;                                   0.002;
01/07/2024 08:38:39;      97.000;                                   0.001;
01/07/2024 08:38:40;      98.000;                                   0.025;
01/07/2024 08:38:41;      99.000;                                   0.031;
01/07/2024 08:38:42;     100.000;                                   0.034;
01/07/2024 08:38:43;     101.000;                                   0.018;
01/07/2024 08:38:44;     102.000;                                   0.002;
01/07/2024 08:38:45;     103.000;                                   0.004;
01/07/2024 08:38:46;     104.000;                                  -0.012;
01/07/2024 08:38:47;     105.000;                                   0.029;
01/07/2024 08:38:48;     106.000;                                   0.010;
01/07/2024 08:38:49;     107.000;                                  -0.014;
01/07/2024 08:38:50;     108.000;                                   0.006;
01/07/2024 08:38:51;     109.000;                                   0.004;
01/07/2024 08:38:52;     110.000;                                   0.023;
01/07/2024 08:38:53;     111.000;                                   0.022;
01/07/2024 08:38:54;     112.000;                                   0.020;
01/07/2024 08:38:55;     113.000;                                   0.032;
01/07/2024 08:38:56;     114.000;                                   0.027;
01/07/2024 08:38:57;     115.000;                                   0.014;
01/07/2024 08:38:58;     116.000;                                   0.034;
01/07/2024 08:38:59;     117.000;                                  -0.006;
01/07/2024 08:39:00;     118.000;                                   0.007;
01/07/2024 08:39:01;     119.000;                                   0.002;
01/07/2024 08:39:02;     120.000;                                   0.014;
01/07/2024 08:39:03;     121.000;                                   0.020;
01/07/2024 08:39:04;     122.000;                                   0.005;
01/07/2024 08:39:05;     123.000;                                   0.008;
01/07/2024 08:39:06;     124.000;                                  -0.015;
01/07/2024 08:39:07;     125.000;                                  -0.008;
01/07/2024 08:39:08;     126.000;                                   0.002;
01/07/2024 08:39:09;     127.000;                                   0.012;
01/07/2024 08:39:10;     128.000;                                  -0.014;
01/07/2024 08:39:11;     129.000;                                  -0.011;
01/07/2024 08:39:12;     130.000;                                  -0.001;
01/07/2024 08:39:13;     131.000;                                   0.013;
01/07/2024 08:39:14;     132.000;                                   0.012;
01/07/2024 08:39:15;     133.000;                                   0.005;
01/07/2024 08:39:16;     134.000;                                   0.008;
01/07/2024 08:39:17;     135.000;                                   0.011;
01/07/2024 08:39:18;     136.000;                                   0.011;
01/07/2024 08:39:19;     137.000;                                  -0.004;
01/07/2024 08:39:20;     138.000;                                  -0.007;
01/07/2024 08:39:21;     139.000;                                  -0.001;
01/07/2024 08:39:22;     140.000;                                   0.006;
01/07/2024 08:39:23;     141.000;                                   0.017;
01/07/2024 08:39:24;     142.000;                                   0.002;
01/07/2024 08:39:25;     143.000;                                  -0.012;
01/07/2024 08:39:26;     144.000;                                   0.020;
01/07/2024 08:39:27;     145.000;                                   0.013;
01/07/2024 08:39:28;     146.000;                                   0.001;
01/07/2024 08:39:29;     147.000;                                   0.030;
01/07/2024 08:39:30;     148.000;                                   0.023;
01/07/2024 08:39:31;     149.000;                                   0.026;
01/07/2024 08:39:32;     150.000;                                   0.001;
01/07/2024 08:39:33;     151.000;                                  -0.006;
01/07/2024 08:39:34;     152.000;                                   0.019;
01/07/2024 08:39:35;     153.000;                                   0.001;
01/07/2024 08:39:36;     154.000;                                   0.022;
01/07/2024 08:39:37;     155.000;                                   0.005;
01/07/2024 08:39:38;     156.000;                                   0.015;
01/07/2024 08:39:39;     157.000;                                   0.001;
01/07/2024 08:39:40;     158.000;                                   0.008;
01/07/2024 08:39:41;     159.000;                                   0.008;
01/07/2024 08:39:42;     160.000;                                   0.015;
01/07/2024 08:39:43;     161.000;                                   0.012;
01/07/2024 08:39:44;     162.000;                                  -0.002;
01/07/2024 08:39:45;     163.000;                                   0.030;
01/07/2024 08:39:46;     164.000;                                   0.012;
01/07/2024 08:39:47;     165.000;                                   0.048;
01/07/2024 08:39:48;     166.000;                                   0.012;
01/07/2024 08:39:49;     167.000;                                   0.022;
01/07/2024 08:39:50;     168.000;                                  -0.006;
01/07/2024 08:39:51;     169.000;                                   0.029;
01/07/2024 08:39:52;     170.000;                                   0.001;
01/07/2024 08:39:53;     171.000;                                   0.040;
01/07/2024 08:39:54;     172.000;                                   0.029;
01/07/2024 08:39:55;     173.000;                                   0.007;
01/07/2024 08:39:56;     174.000;                                   0.017;
01/07/2024 08:39:57;     175.000;                                   0.028;
01/07/2024 08:39:58;     176.000;                                   0.006;
01/07/2024 08:39:59;     177.000;                                   0.017;
01/07/2024 08:40:00;     178.000;                                   0.024;
01/07/2024 08:40:01;     179.000;                                  -0.002;
01/07/2024 08:40:02;     180.000;                                   0.034;
01/07/2024 08:40:03;     181.000;                                  -0.006;
01/07/2024 08:40:04;     182.000;                                   0.008;
01/07/2024 08:40:05;     183.000;                                   0.030;
01/07/2024 08:40:06;     184.000;                                   0.004;
01/07/2024 08:40:07;     185.000;                                   0.018;
01/07/2024 08:40:08;     186.000;                                  -0.000;
01/07/2024 08:40:09;     187.000;                                   0.031;
01/07/2024 08:40:10;     188.000;                                   0.006;
01/07/2024 08:40:11;     189.000;                                   0.002;
